transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
246,100.0,21.8405128205,1347.92307692,1.8625,100.0,6.54898550725,585.428571429,5.11746031746,100.41227182,300.11,3.35,96.0
140,92.2653723404,35.6286185383,671.106666667,11.0602409639,100.0,19.4219946809,417.297297297,21.6846846847,502.813042575,178.65,9.99,480
19,100.0,35.5027530864,441.555555556,8.41967213115,100.0,24.2598024691,415.379746835,31.653164557,1000,127.85,10.0,672
88,99.9995604396,24.8462254902,593.914634146,3.86455696203,100.0,11.1145421245,494.576923077,11.0184615385,1000,252.92,9.98,339
32,99.9970355731,20.1572619048,499.933333333,5.89431818182,100.0,21.3636375661,412.503401361,21.1639455782,1000,244.47,10.0,351
151,88.9457,21.1773634337,711.228571429,3.71078431373,100.0,41.5329487179,417.994318182,23.2471590909,185.652038339,300.06,6.20,178
50,34.6417596567,25.6171982759,454.555555556,11.9556338028,100.0,13.9699568966,478.016949153,12.5169491525,1000,216.08,9.98,397
217,99.1547,31.7156187291,902.166666667,4.22638888889,100.0,6.90196767001,511.893333333,7.418,223.796521604,300.09,7.48,214
229,100.0,25.6635953177,1134.85294118,2.1875,100.0,10.1106744705,526.802631579,6.23552631579,118.973493816,300.31,3.98,114
228,100.0,26.4419063545,1118.31428571,1.96470588235,100.0,10.3065273133,527.369127517,6.03020134228,120.141480392,300.18,4.01,115
162,93.8974339623,28.3040467172,712.581395349,8.40595238095,100.0,25.247979798,418.458064516,19.6625806452,351.394431922,255.62,10.0,336
69,50.0329896907,20.7197701149,498.112359551,12.3028409091,100.0,11.595045977,519.567164179,9.32686567164,1000,266.39,9.98,322
179,100.0,21.0564827202,808.92,2.50212765957,100.0,18.648606466,418.20441989,14.4607734807,156.554911136,300.10,5.23,150
134,89.2051666667,23.92106466,658.511811024,6.1608,100.0,33.7417892977,420.831460674,24.6011235955,274.709213517,300.06,9.18,263
18,100.0,36.3462073491,438.366666667,9.10689655172,100.0,26.7738976378,415.802631579,28.5868421053,1000,119.97,10.0,716
16,100.0,39.3172311828,439.440677966,9.17719298246,100.0,19.6743682796,417.743243243,29.8810810811,1000,118.17,10.0,727
232,100.0,26.7201337793,1070.19444444,2.06363636364,100.0,10.5588182832,528.423611111,6.71736111111,126.439493133,300.15,4.22,121
59,41.2398479087,23.358524173,474.012345679,13.00625,100.0,9.70061068702,496.699186992,10.4837398374,1000,240.12,9.98,357
125,84.0688666667,23.5121125975,647.631578947,7.04961832061,100.0,32.3468784838,421.18079096,23.411299435,274.191867587,300.03,9.16,262
235,100.0,26.01196767,1108.97142857,2.265625,100.0,8.65915273133,527.287671233,6.7095890411,124.064840617,300.17,4.15,119
221,100.0,25.1272742475,1091.62162162,2.29117647059,100.0,9.36278149387,515.0,6.06126760563,124.201819991,300.23,4.15,119
213,96.8483,31.5189018952,864.565217391,4.03432835821,100.0,7.32576923077,517.130136986,7.8198630137,229.971365278,300.10,7.66,219
200,97.2345666667,25.5399721293,817.088607595,3.47272727273,100.0,3.49512263099,612.918918919,5.08738738739,206.593165157,299.97,6.88,197
39,99.9994980695,20.3508139535,527.651685393,5.08045977011,100.0,18.2557299742,414.697986577,22.2080536913,1000,250.85,10.0,342
183,100.0,21.5300780379,819.448979592,2.59130434783,100.0,18.8511761427,414.900552486,12.0237569061,157.928113707,300.21,5.28,151
233,100.0,26.5765328874,1051.30555556,1.86363636364,100.0,9.38328316611,524.936170213,7.4475177305,125.467334626,300.09,4.19,120
147,91.1434529148,33.4174624625,701.205128205,10.0688311688,100.0,22.86867713,415.727272727,19.9931818182,419.714601476,214.02,10.0,401
216,98.4150666667,30.8080936455,939.910447761,4.89076923077,100.0,7.04341137124,513.526666667,7.80733333333,225.59154719,300.17,7.54,216
48,33.6269585253,26.936404321,448.367647059,12.8873134328,100.0,12.7661342593,476.091743119,13.9082568807,1000,200.57,9.98,427
149,90.0397115385,34.8464412238,709.072463768,12.6044117647,100.0,19.9492109501,416.305785124,18.273553719,452.045896216,198.72,10.0,432
120,100.0,18.6034559643,722.160714286,2.45,100.0,6.97744147157,562.096,5.844,1000,300.09,5.13,147
131,90.0515789474,37.6796470588,661.2,15.4246376812,100.0,21.2844215686,426.63,24.264,552.243217804,162.66,10.0,528
145,89.5990283401,29.3395257453,685.820224719,8.49770114943,100.0,31.4791869919,422.215277778,22.9388888889,378.49249223,237.32,10.0,362
116,100.0,18.8855406912,709.775862069,2.72678571429,100.0,9.61897435897,563.866141732,6.05039370079,1000,300.08,5.55,159
94,99.9975,18.8643645485,678.857142857,2.98666666667,100.0,13.493690078,413.910614525,10.5932960894,1000,300.09,6.13,176
138,92.0242268041,32.8523056995,675.571428571,11.7934210526,100.0,24.8507426598,419.798245614,21.4219298246,487.868562285,184.12,10.0,467
117,100.0,19.5022073579,714.25862069,2.43272727273,100.0,7.95202898551,562.279069767,6.22015503876,1000,300.15,5.78,165
249,100.0,22.3621850613,1257.11111111,1.84583333333,100.0,7.19708472687,577.748031496,4.69133858268,99.0383072526,300.17,3.31,94.7
46,32.0836521739,24.1469723435,446.340277778,13.7190140845,100.0,11.5877729258,480.75862069,14.175,1000,212.74,9.98,403
190,100.0,18.4882998885,1086.6,1.66333333333,100.0,13.0727257525,412.480874317,11.3568306011,111.768445057,300.15,3.73,107
185,100.0,21.845367893,849.729166667,2.42666666667,100.0,17.9164269788,416.033149171,12.2392265193,154.716939616,300.08,5.17,148
12,99.9971538462,38.7226873385,428.442622951,7.70875,100.0,24.8095219638,421.746666667,30.7586666667,1000,121.31,10.0,708
243,100.0,22.1907023411,1224.07142857,1.85,100.0,6.97716833891,572.93442623,5.14262295082,108.392728009,300.15,3.62,104
139,89.03765625,33.6203141361,669.554054054,14.2930555556,100.0,24.4448429319,421.401785714,22.2705357143,492.173188099,182.51,10.0,471
51,34.5837542662,20.4352111872,458.664835165,11.0294444444,100.0,11.7747317352,495.020833333,9.92569444444,1000,271.51,9.98,316
81,100.0,26.0901393939,599.406976744,3.84880952381,100.0,10.9152536232,494.798449612,10.5248062016,1000,254.32,9.99,337
126,85.782007722,27.6728875969,633.637168142,8.69189189189,100.0,27.0413501292,423.72,21.168,358.832487248,250.32,10.0,343
227,100.0,25.4740245262,1195.20588235,2.10625,100.0,9.24199554069,526.744827586,6.28137931034,119.765170732,300.12,4.00,115
195,100.0,18.1493143813,1042.93333333,1.73214285714,100.0,17.6530713489,415.406593407,10.4840659341,112.673732907,300.24,3.77,108
7,11.6400833333,44.9031792717,365.1625,16.4794871795,100.0,17.403627451,420.887323944,30.0873239437,1000,111.73,9.99,768
8,14.142601626,47.3176639344,365.444444444,16.1949367089,100.0,21.631215847,426.887323944,31.685915493,1000,114.60,10.0,749
